Region/Sub-Region or Country of Birth,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Western Africa," 15,103 "," 18,558 "," 21,424 "," 22,774 "," 20,144 "," 25,012 "," 31,391 "," 43,991 "," 35,584 "," 41,549 "," 46,479 "," 38,040 "," 37,367 "," 41,806 "," 39,410 "," 35,684 "," 33,214 "," 38,851 "," 40,343 "
Benin, 59 , 62 , 75 , 137 , 76 , 185 , 193 , 275 , 258 , 317 , 401 , 486 , 462 , 415 , 342 , 517 , 466 , 577 , 648 
Burkina Faso, 17 , 48 , 68 , 64 , 60 , 103 , 128 , 221 , 238 , 238 , 416 , 377 , 433 , 558 , 585 , 583 , 575 , 642 , 541 
Cabo Verde, 902 ," 1,079 ", 868 , 871 , 745 ," 1,015 "," 1,225 "," 1,780 "," 2,048 "," 1,916 "," 2,238 "," 1,668 "," 1,808 "," 1,684 "," 1,673 "," 1,154 "," 1,253 "," 2,242 "," 2,618 "
Cote d'Ivoire, 303 , 439 , 596 , 629 , 483 , 666 , 930 ," 2,067 "," 1,193 "," 1,645 "," 2,159 "," 1,621 "," 1,302 "," 1,760 "," 1,486 "," 1,477 "," 1,497 "," 1,617 "," 1,810 "
Gambia, 183 , 231 , 390 , 343 , 263 , 422 , 581 , 897 , 826 , 739 , 978 , 859 , 972 ," 1,159 "," 1,018 "," 1,111 "," 1,142 "," 1,247 "," 1,134 "
Ghana," 3,707 "," 4,339 "," 4,023 "," 4,248 "," 4,410 "," 5,337 "," 6,491 "," 9,367 "," 7,610 "," 8,195 "," 8,401 "," 7,429 "," 8,798 "," 10,592 "," 10,265 "," 7,115 "," 6,186 "," 6,949 "," 8,455 "
Guinea, 5 , 3 , 11 , 16 , 29 , 347 , 495 ," 1,110 "," 1,088 "," 1,735 "," 1,725 "," 1,379 "," 1,555 "," 1,656 "," 1,518 "," 1,375 "," 1,389 "," 1,501 "," 1,348 "
Guinea-Bissau, 134 , 204 , 273 , 289 , 176 , 5 , 26 , 25 , 25 , 17 , 20 , 30 , 29 , 47 , 43 , 30 , 39 , 37 , 48 
Liberia," 1,351 "," 1,570 "," 2,273 "," 2,869 "," 1,766 "," 2,757 "," 4,880 "," 6,887 "," 4,102 "," 7,193 "," 7,641 "," 4,837 "," 4,151 "," 4,109 "," 3,334 "," 3,874 "," 3,795 "," 3,619 "," 4,155 "
Mali, 72 , 109 , 119 , 105 , 124 , 163 , 277 , 408 , 412 , 523 , 576 , 528 , 629 , 734 , 667 , 604 , 587 , 598 , 544 
Mauritania, 24 , 88 , 117 , 124 , 131 , 170 , 275 , 720 , 651 , 844 , 597 , 495 , 393 , 410 , 354 , 320 , 298 , 317 , 287 
Niger, 12 , 30 ," 1,330 "," 1,263 ", 808 , 62 , 126 , 116 , 97 , 107 , 183 , 96 , 96 , 48 , 37 , 71 , 55 , 119 , 116 
Nigeria," 6,742 "," 7,831 "," 8,253 "," 8,105 "," 7,872 "," 9,374 "," 10,597 "," 13,459 "," 12,448 "," 12,475 "," 15,253 "," 13,376 "," 11,824 "," 13,575 "," 13,840 "," 12,828 "," 11,542 "," 14,380 "," 13,539 "
Senegal, 368 , 554 , 663 , 530 , 522 , 769 , 913 ," 1,367 "," 1,024 "," 1,149 "," 1,524 "," 1,285 "," 1,424 "," 1,615 "," 1,340 "," 1,273 "," 1,244 "," 1,533 "," 1,470 "
Sierra Leone, 970 ," 1,585 "," 1,878 "," 2,246 "," 1,492 "," 1,596 "," 2,731 "," 3,572 "," 1,999 "," 2,795 "," 2,687 "," 2,011 "," 1,985 "," 1,688 "," 1,651 "," 1,740 "," 1,599 "," 1,535 "," 2,058 "
Togo, 254 , 386 , 487 , 935 ," 1,187 "," 2,041 "," 1,523 "," 1,720 "," 1,565 "," 1,661 "," 1,680 "," 1,563 "," 1,506 "," 1,756 "," 1,257 "," 1,612 "," 1,547 "," 1,938 "," 1,572 "
Other Africa,,,,,,,,,, 5 , 4 , -   , -   , 3 , 3 , 3 , 3 , 1 , -   
Americas," 312,160 "," 394,779 "," 474,112 "," 477,092 "," 304,990 "," 414,523 "," 448,689 "," 552,056 "," 445,806 "," 491,745 "," 478,040 "," 423,731 "," 419,998 "," 407,172 "," 396,605 "," 398,069 "," 438,435 "," 506,901 "," 492,726 "
Caribbean," 71,350 "," 86,055 "," 102,830 "," 96,026 "," 68,549 "," 89,042 "," 108,470 "," 146,606 "," 118,950 "," 136,948 "," 145,959 "," 139,877 "," 133,608 "," 127,391 "," 122,313 "," 133,843 "," 146,640 "," 182,049 "," 174,514 "
Anguilla, 20 , 25 , 55 , 20 , 26 , 22 , 35 , 32 , 25 , 22 , 21 , 19 , 25 , 23 , 22 , 20 , 22 , 20 , 23 
Antigua and Barbuda, 454 , 429 , 461 , 380 , 301 , 414 , 440 , 570 , 415 , 444 , 437 , 359 , 368 , 337 , 344 , 369 , 290 , 324 , 322 
Aruba, 14 , 25 , 29 , 32 , 27 , 31 , 42 , 51 , 55 , 36 , 38 , 49 , 39 , 54 , 45 , 40 , 38 , 23 , 47 
Bahamas, 398 , 766 , 924 , 808 , 423 , 586 , 698 , 847 , 738 , 682 , 751 , 652 , 668 , 619 , 630 , 654 , 725 , 656 , 725 
Barbados, 715 , 777 , 895 , 813 , 516 , 630 , 846 , 959 , 689 , 585 , 603 , 465 , 455 , 460 , 428 , 384 , 376 , 371 , 373 
British Virgin Islands, 76 , 67 , 70 , 43 , 43 , 35 , 41 , 47 , 40 , 53 , 46 , 46 , 37 , 39 , 45 , 56 , 38 , 40 , 25 
Cayman Islands, 18 , 31 , 23 , 24 , 35 , 38 , 37 , 65 , 40 , 37 , 45 , 52 , 41 , 44 , 44 , 48 , 53 , 55 , 67 
Cuba," 14,019 "," 18,960 "," 27,453 "," 28,182 "," 9,262 "," 20,488 "," 36,261 "," 45,614 "," 29,104 "," 49,500 "," 38,954 "," 33,573 "," 36,452 "," 32,820 "," 32,219 "," 46,679 "," 54,396 "," 66,516 "," 65,028 "
Curacao, X , X , X , X , X , X , X , X , X , X , X , X , - , - , - , 27 , 22 , 35 , 34 
Dominica, 40 , 95 , 93 , 148 , 204 , 132 , 198 , 471 , 428 , 454 , 484 , 366 , 287 , 125 , 244 , 345 , 229 , 298 , 510 
Dominican Republic," 17,811 "," 17,465 "," 21,195 "," 22,515 "," 26,159 "," 30,506 "," 27,503 "," 38,068 "," 28,024 "," 31,879 "," 49,414 "," 53,870 "," 46,109 "," 41,566 "," 41,311 "," 44,577 "," 50,610 "," 61,161 "," 58,520 "
Grenada, 661 , 655 , 645 , 634 , 481 , 609 , 840 ," 1,068 ", 751 , 784 , 748 , 664 , 579 , 671 , 687 , 633 , 525 , 585 , 544 
Guadeloupe, 54 , 51 , 84 , 38 , 35 , 59 , 48 , 53 , D , D , D , D , D , D , D , D , D , D , D 
Haiti," 16,514 "," 22,337 "," 27,031 "," 20,213 "," 12,293 "," 14,191 "," 14,524 "," 22,226 "," 30,405 "," 26,007 "," 24,280 "," 22,582 "," 22,111 "," 22,818 "," 20,351 "," 15,274 "," 16,967 "," 23,584 "," 21,824 "
Jamaica," 14,693 "," 15,949 "," 15,322 "," 14,835 "," 13,347 "," 14,430 "," 18,345 "," 24,976 "," 19,375 "," 18,477 "," 21,783 "," 19,825 "," 19,662 "," 20,705 "," 19,400 "," 19,026 "," 17,642 "," 23,350 "," 21,905 "
Martinique, 23 , 20 , 22 , 19 , 14 , 26 , 37 , 30 , D , D , D , D , D , D , D , D , D , D , D 
Montserrat, 80 , 70 , 61 , 42 , 36 , 33 , 50 , 90 , 66 , 61 , 43 , 27 , 30 , 27 , - , 38 , 14 , 14 , 12 
Netherlands Antilles, 35 , 53 , 114 , 97 , 59 , 72 , 116 , 100 , 93 , 78 , 97 , 77 , 86 , 106 , 128 , 45 , 22 , 18 , 9 
Saint Kitts and Nevis, 463 , 500 , 463 , 342 , 310 , 299 , 342 , 458 , 347 , 363 , 310 , 339 , 350 , 311 , 259 , 263 , 222 , 250 , 238 
Saint Lucia, 529 , 599 , 674 , 583 , 488 , 616 , 832 ," 1,212 ", 928 , 946 ," 1,027 ", 872 , 785 , 919 , 853 , 844 , 739 , 777 , 777 
Saint Vincent and the Grenadines, 442 , 497 , 559 , 480 , 322 , 400 , 625 , 756 , 567 , 568 , 591 , 576 , 468 , 503 , 529 , 448 , 415 , 422 , 361 
Sint Maarten, X , X , X , X , X , X , X , X , X , X , X , X , - , - , - , 45 , 45 , 42 , 35 
Trinidad and Tobago," 4,259 "," 6,635 "," 6,618 "," 5,738 "," 4,138 "," 5,384 "," 6,568 "," 8,854 "," 6,829 "," 5,937 "," 6,256 "," 5,435 "," 5,023 "," 5,214 "," 4,724 "," 3,988 "," 3,212 "," 3,469 "," 3,100 "
Turks and Caicos Islands, 27 , 46 , 33 , 31 , 26 , 28 , 34 , 52 , 31 , 35 , 31 , 29 , 33 , 30 , 50 , 40 , 38 , 39 , 35 
U.S. Virgin Islands, 5 , 3 , 6 , 9 , 4 , 13 , 8 , 7 ,,,,,,,,,,,
Central America," 190,492 "," 236,738 "," 280,886 "," 287,391 "," 169,939 "," 237,698 "," 214,908 "," 248,765 "," 204,566 "," 240,829 "," 212,788 "," 183,071 "," 187,153 "," 187,081 "," 179,752 "," 178,455 "," 206,330 "," 231,877 "," 227,166 "
Belize, 572 , 757 , 936 , 966 , 588 , 871 , 876 ," 1,252 "," 1,073 "," 1,077 "," 1,041 ", 965 , 905 , 847 , 946 , 789 , 772 , 851 , 746 
Costa Rica, 883 ," 1,310 "," 1,733 "," 1,591 "," 1,246 "," 1,755 "," 2,278 "," 3,109 "," 2,540 "," 2,090 "," 2,384 "," 2,164 "," 2,135 "," 2,020 "," 2,114 "," 1,966 "," 2,029 "," 2,224 "," 2,184 "
El Salvador," 14,581 "," 22,543 "," 31,089 "," 31,060 "," 28,231 "," 29,807 "," 21,359 "," 31,782 "," 21,127 "," 19,659 "," 19,909 "," 18,806 "," 18,667 "," 16,256 "," 18,260 "," 19,273 "," 19,487 "," 23,449 "," 25,109 "
Guatemala," 7,294 "," 9,942 "," 13,496 "," 16,178 "," 14,386 "," 18,920 "," 16,818 "," 24,133 "," 17,908 "," 16,182 "," 12,187 "," 10,467 "," 11,092 "," 10,341 "," 10,224 "," 10,238 "," 11,773 "," 13,002 "," 13,198 "
Honduras," 4,793 "," 5,917 "," 6,571 "," 6,435 "," 4,645 "," 5,508 "," 7,012 "," 8,177 "," 7,646 "," 6,540 "," 6,404 "," 6,448 "," 6,133 "," 6,884 "," 8,898 "," 8,156 "," 9,274 "," 13,302 "," 11,387 "
Mexico," 147,402 "," 173,493 "," 205,560 "," 218,822 "," 115,585 "," 175,411 "," 161,445 "," 173,749 "," 148,640 "," 189,989 "," 164,920 "," 139,120 "," 143,446 "," 146,406 "," 135,028 "," 134,052 "," 158,619 "," 174,534 "," 170,581 "
Nicaragua," 13,327 "," 20,947 "," 19,634 "," 10,659 "," 4,094 "," 4,009 "," 3,305 "," 4,145 "," 3,716 "," 3,614 "," 4,137 "," 3,565 "," 3,401 "," 3,046 "," 3,048 "," 2,886 "," 3,324 "," 3,486 "," 3,072 "
